"Kombinasi Nilai","Hasil Inferensi"
"xsebentar,xsebentar,xsebentar,xsebentar",0
"xsebentar,xsebentar,xsebentar,xsedang",0
"xsebentar,xsebentar,xsebentar,xlama",0
"xsebentar,xsebentar,xsedang,xsebentar",0
"xsebentar,xsebentar,xsedang,xsedang",0.25
"xsebentar,xsebentar,xsedang,xlama",0.25
"xsebentar,xsebentar,xlama,xsebentar",0
"xsebentar,xsebentar,xlama,xsedang",0.25
"xsebentar,xsebentar,xlama,xlama",0.25
"xsebentar,xsedang,xsebentar,xsebentar",0
"xsebentar,xsedang,xsebentar,xsedang",0
"xsebentar,xsedang,xsebentar,xlama",0
"xsebentar,xsedang,xsedang,xsebentar",0
"xsebentar,xsedang,xsedang,xsedang",0.2
"xsebentar,xsedang,xsedang,xlama",0.2
"xsebentar,xsedang,xlama,xsebentar",0
"xsebentar,xsedang,xlama,xsedang",0.2
"xsebentar,xsedang,xlama,xlama",0.2
"xsebentar,xlama,xsebentar,xsebentar",0
"xsebentar,xlama,xsebentar,xsedang",0
"xsebentar,xlama,xsebentar,xlama",0
"xsebentar,xlama,xsedang,xsebentar",0
"xsebentar,xlama,xsedang,xsedang",0
"xsebentar,xlama,xsedang,xlama",0
"xsebentar,xlama,xlama,xsebentar",0
"xsebentar,xlama,xlama,xsedang",0
"xsebentar,xlama,xlama,xlama",0
"xsedang,xsebentar,xsebentar,xsebentar",0
"xsedang,xsebentar,xsebentar,xsedang",0
"xsedang,xsebentar,xsebentar,xlama",0
"xsedang,xsebentar,xsedang,xsebentar",0
"xsedang,xsebentar,xsedang,xsedang",0.44444444444444
"xsedang,xsebentar,xsedang,xlama",0.33333333333333
"xsedang,xsebentar,xlama,xsebentar",0
"xsedang,xsebentar,xlama,xsedang",0.55555555555556
"xsedang,xsebentar,xlama,xlama",0.33333333333333
"xsedang,xsedang,xsebentar,xsebentar",0
"xsedang,xsedang,xsebentar,xsedang",0
"xsedang,xsedang,xsebentar,xlama",0
"xsedang,xsedang,xsedang,xsebentar",0
"xsedang,xsedang,xsedang,xsedang",0.2
"xsedang,xsedang,xsedang,xlama",0.2
"xsedang,xsedang,xlama,xsebentar",0
"xsedang,xsedang,xlama,xsedang",0.2
"xsedang,xsedang,xlama,xlama",0.2
"xsedang,xlama,xsebentar,xsebentar",0
"xsedang,xlama,xsebentar,xsedang",0
"xsedang,xlama,xsebentar,xlama",0
"xsedang,xlama,xsedang,xsebentar",0
"xsedang,xlama,xsedang,xsedang",0
"xsedang,xlama,xsedang,xlama",0
"xsedang,xlama,xlama,xsebentar",0
"xsedang,xlama,xlama,xsedang",0
"xsedang,xlama,xlama,xlama",0
"xlama,xsebentar,xsebentar,xsebentar",0
"xlama,xsebentar,xsebentar,xsedang",0
"xlama,xsebentar,xsebentar,xlama",0
"xlama,xsebentar,xsedang,xsebentar",0
"xlama,xsebentar,xsedang,xsedang",0
"xlama,xsebentar,xsedang,xlama",0
"xlama,xsebentar,xlama,xsebentar",0
"xlama,xsebentar,xlama,xsedang",0
"xlama,xsebentar,xlama,xlama",0
"xlama,xsedang,xsebentar,xsebentar",0
"xlama,xsedang,xsebentar,xsedang",0
"xlama,xsedang,xsebentar,xlama",0
"xlama,xsedang,xsedang,xsebentar",0
"xlama,xsedang,xsedang,xsedang",0
"xlama,xsedang,xsedang,xlama",0
"xlama,xsedang,xlama,xsebentar",0
"xlama,xsedang,xlama,xsedang",0
"xlama,xsedang,xlama,xlama",0
"xlama,xlama,xsebentar,xsebentar",0
"xlama,xlama,xsebentar,xsedang",0
"xlama,xlama,xsebentar,xlama",0
"xlama,xlama,xsedang,xsebentar",0
"xlama,xlama,xsedang,xsedang",0
"xlama,xlama,xsedang,xlama",0
"xlama,xlama,xlama,xsebentar",0
"xlama,xlama,xlama,xsedang",0
"xlama,xlama,xlama,xlama",0
